id;mobile_no;email;code;sent_on;valid_until;is_used
1;sterilise wherever but;Easter15@hotmail.com;mmm save;2023-12-04T06:40:31;2023-12-03T23:26:02;true
2;under anthropology failing;Salvador_Emmerich1@gmail.com;provided overconfidently;2023-12-04T04:03:50;2023-12-03T22:57:23;true
3;inwardly beyond;Rey67@hotmail.com;beneath since;2023-12-03T18:12:47;2023-12-03T17:51:33;true
4;inasmuch blah;Conor84@yahoo.com;vigorous;2023-12-03T22:34:37;2023-12-03T12:52:36;true
5;geez ick fiercely;Baron34@yahoo.com;enlightened crib;2023-12-03T12:05:15;2023-12-04T01:14:10;true
6;condition;Linnie.Marquardt@yahoo.com;enormously build;2023-12-04T07:51:35;2023-12-03T20:02:36;true
7;between;Kacie76@gmail.com;majestically apt government;2023-12-03T17:25:30;2023-12-04T07:23:50;true
8;worse although;Jesus.Hermiston@gmail.com;tut sarcastic;2023-12-03T19:46:21;2023-12-03T17:28:03;true
9;inasmuch;Timmy.Kassulke@yahoo.com;bravely some clear;2023-12-03T22:08:52;2023-12-03T15:39:33;true
10;off;Faustino2@hotmail.com;oh;2023-12-04T05:53:56;2023-12-04T03:59:30;true
