id;arabic_first_name;arabic_middle_name;arabic_last_name;english_first_name;english_middle_name;english_last_name;birth_date;birth_place;national_no;register_no;gender;id_type;id_no;mobile_no;verified_by_email_otp;verified_by_mobile_no_otp;email;nid_status;is_foreign;is_mobile_connected_with_nid;wallet_owner_status;image_file;image_file_content_type;image_url_file;post_code;address;lat;lng;notes;created_by;created_date;last_modified_by;last_modified_date
1;neck whether;pit;encamp;nervously;wash closely fortunately;monthly unless now;2023-12-01;widow champagne;roughly poorly;ew governor considering;MALE;DRIVING_LICENCE;dam following;halibut ha;true;true;Florence_Schneider92@yahoo.com;fritter though famously;true;true;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;phew probe hmph;82655;after reverse;7093.22;623.47;acidic depreciate whose;peppery however;2023-12-01T15:59:34;swan;2023-12-01T14:08:55
2;punctually;along energetically;over uh-huh;milk once;consequently;quickly;2023-12-01;certainly innocently stupefy;pish;for;FEMALE;ID;boohoo;quarrelsomely;true;false;Bartholome_Hoeger55@hotmail.com;since smart yak;true;false;PENDING_KYC2;../fake-data/blob/hipster.png;image/png;vaguely insure carload;20140-8366;inasmuch mmm;23930.55;26609.87;underneath rare once;woefully flimsy phew;2023-12-01T03:15:11;opposite;2023-12-01T06:32:39
3;what after aw;ha;anxiously geez;gah redefine wrongly;nor neatly who;salty indemnify;2023-12-01;greed;slowly;dreary tornado personalize;MALE;DRIVING_LICENCE;before;gosh ugh govern;true;true;Jon_Ziemann-Bednar@hotmail.com;yet creosote until;false;false;PENDING_KYC2;../fake-data/blob/hipster.png;image/png;brr;33838-5662;where duh;23935.69;22651.64;before;somber;2023-12-01T12:34:17;born greedy even;2023-12-01T06:00:05
4;for vitality;organic;unimpressively;harmful;before;wisdom yowza;2023-12-01;vaguely;mid destabilise;woot;FEMALE;ID;savour oof valiantly;without frantically;false;false;Heidi_Koepp-Leannon@yahoo.com;harp before or;true;true;DEACTIVATED;../fake-data/blob/hipster.png;image/png;consequently;31069;eavesdropper woefully where;14812.48;31538.17;generally rectangular;ew;2023-12-01T01:54:41;than excitedly vague;2023-12-01T03:34:23
5;that yet usually;outside;regroup;hm feline;boogie finally off;indeed raven;2023-11-30;emotional;limply since sell;hm who that;MALE;ID;whoa sway;step-daughter briskly;true;false;Adolfo_Green@hotmail.com;sample circa devastate;false;false;DEACTIVATED;../fake-data/blob/hipster.png;image/png;when;73209-5260;boycott zowie since;18081.92;7354.82;ha lean shiny;once whoa lentil;2023-12-01T14:20:02;plus once dearest;2023-12-01T02:43:49
6;worriedly except;geez joshingly;gah;vegetate allegation stench;diminish soon;ah frightening scalp;2023-12-01;bold;ick life whoa;plight;MALE;PASSPORT;splatter though;far-off click;true;false;Birdie.Doyle@yahoo.com;unhappy;false;true;DEACTIVATED;../fake-data/blob/hipster.png;image/png;ew cavernous;60071;dope;30988.83;18085.98;quirkily;phew where wretched;2023-11-30T23:26:03;notwithstanding through limping;2023-12-01T02:30:16
7;satire;and granddaughter under;improbable vandalize;ack rayon;inside haunting till;as interloper;2023-12-01;even apud cleverly;modeling;yum ack nestle;FEMALE;PASSPORT;roughly;off sometimes;false;false;Trent.Gutkowski-Morar@gmail.com;onto;false;true;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;merchant eventually aha;58866;unlike at mortally;23643.2;10845.9;instructive hastily aside;eardrum adolescent;2023-12-01T14:45:16;merrily knowledgeable among;2023-12-01T04:06:49
8;vacation because;into whoever;yum even;bull;fooey;aggressive exhaust;2023-12-01;before;deficit sponsor;alongside;FEMALE;DRIVING_LICENCE;suspiciously violent;counselling;false;false;Dandre.Barrows45@yahoo.com;as;true;true;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;blah;41332-5949;evoke;4273.31;1696.52;trust thick;bucketful;2023-11-30T21:02:16;traumatise an;2023-12-01T15:01:59
9;particle retch hmph;incidentally instructive;boss but balls;uneven hearken gah;surprisingly knowing actually;fervently;2023-12-01;briefly while duh;greatly charming;burning spry;MALE;PASSPORT;geez queasy;on;true;true;Cassandra.Franey54@hotmail.com;hydrogen;false;false;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;before;15574-4080;so nor;14901.89;31463.14;dressing offload;thankfully voice profuse;2023-11-30T20:55:01;lightly excite incidentally;2023-12-01T12:51:34
10;poor clearly;concerning around queasily;why meanwhile misuse;amidst without slather;imaginary bah arrogantly;pace;2023-12-01;animated;pride;phew;FEMALE;PASSPORT;phooey finally bravely;finally incorporate;true;false;Ernest.Pollich@yahoo.com;stitch why;true;true;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;sailor now;65785;lightly;9778.32;7589.24;plagiarise abbreviate;for;2023-11-30T21:21:23;mid healthily tense;2023-12-01T01:19:25
