id;arabic_first_name;arabic_middle_name;arabic_last_name;english_first_name;english_middle_name;english_last_name;commercial_registry_no;commercial_licence_no;birth_date;birth_place;national_no;register_no;gender;id_type;id_no;mobile_no;verified_by_email_otp;verified_by_mobile_no_otp;email;nid_status;is_foreign;is_mobile_connected_with_nid;wallet_owner_status;image_file;image_file_content_type;image_url_file;post_code;address;lat;lng;notes;created_by;created_date;last_modified_by;last_modified_date
1;mope;phew firebomb;lopsided;vainly;paltry for;drift;demand unless;of;2023-12-01;ew ream worst;unto ouch;where;FEMALE;ID;before pasture anenst;cotton on;false;false;Alda.Beer91@hotmail.com;yippee towards whenever;true;false;DEACTIVATED;../fake-data/blob/hipster.png;image/png;glamorize innocently unfold;58063-7674;over;10191.53;22610.67;brilliant than;under repulsive;2023-12-01T04:14:19;amend wherever;2023-12-01T00:49:13
2;often gah;beneath even;warlike;actual rupture experience;ha blah worth;concerning near;undo;dwell given very;2023-12-01;woefully evenly;meh;zowie even majestically;FEMALE;PASSPORT;huzzah towards;delayed;true;true;Kyra_Lueilwitz@hotmail.com;fan by only;true;true;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;determination;05618;microblog;2018.39;20336.9;onto;basement;2023-12-01T06:47:58;wherever smoothly;2023-12-01T08:14:03
3;ionise normalise jot;full once;authorized circa regularly;enrollment afternoon tergiversate;limply;satisfied;phooey;worth blind aha;2023-12-01;lopsided known;kookily an;elegantly;FEMALE;PASSPORT;bewitched afore forebear;ack or;false;false;Vinnie23@hotmail.com;integer;true;false;DEACTIVATED;../fake-data/blob/hipster.png;image/png;lunge;26774-4618;ha episode potentially;2592.43;31380.36;ashamed sizzling;advanced;2023-12-01T01:04:06;toward;2023-11-30T20:58:06
4;voluntarily;hook villainous vulture;egghead energetically;aw arrogantly um;atop;hence;rarely serious;furthermore seethe which;2023-12-01;condescend hot;of tightly;those gee broadly;FEMALE;PASSPORT;ha;sympathetic;true;false;Elwin.Connelly@hotmail.com;if ah;true;false;ACTIVE;../fake-data/blob/hipster.png;image/png;cushion eek drizzle;14283-1360;all mostly er;7480.74;25915.64;cold sweltering sadly;upright though or;2023-12-01T05:03:45;before silly for;2023-11-30T23:45:09
5;medical;zowie than cautiously;round regarding tenderly;ew onto;boo;nor blackbird;down;within longingly pro;2023-12-01;apropos;abaft aha;gosh unfortunately;MALE;PASSPORT;chicken interwork;if failure bonsai;false;true;Julian7@yahoo.com;out;true;false;PENDING_KYC1;../fake-data/blob/hipster.png;image/png;expectorate;04233-4829;interject;22428.08;25176.85;amidst;although into melodic;2023-12-01T14:53:29;afore organisation;2023-11-30T19:00:47
6;why;furthermore weary instead;mortally;cheerfully while inequality;loose black-and-white deeply;since greedily hydrocarbon;yum transplant;hmph;2023-12-01;immaculate;abaft deter;linguist yet meh;MALE;DRIVING_LICENCE;opposite;tuba huzzah reel;false;true;Cortez_Hauck40@yahoo.com;versus;false;true;PENDING_KYC2;../fake-data/blob/hipster.png;image/png;clash;94993;upward;26540.89;15827.01;sequel modification;furthermore ew;2023-12-01T08:16:49;sponsorship;2023-11-30T23:55:24
7;tight unless;before;less vibraphone;impeccable traumatic;thorough;unless limply;whisper;enthusiastically;2023-12-01;euphoric float delicious;foolishly;midst and consist;MALE;DRIVING_LICENCE;however;anenst;true;false;Osvaldo0@hotmail.com;even yowza;true;true;DEACTIVATED;../fake-data/blob/hipster.png;image/png;um meaningfully miscommunication;99863;or upwardly axis;12258.9;30636.58;whenever;to;2023-12-01T09:59:05;above consequently majestically;2023-12-01T05:13:16
8;lovely pish;barring;sans;tribe dismal audit;among;crossly repent;hopeful before;guilty but;2023-12-01;alluvium oof;quicker justly mundane;cautiously what;MALE;ID;pish past;positively quaintly questioningly;false;true;Crystel.McKenzie76@yahoo.com;cultivated;true;true;PENDING_KYC2;../fake-data/blob/hipster.png;image/png;aside whereas furthermore;37687-4809;lest unethically;11697.43;6460.86;unaccountably adjustment how;briskly dizzy;2023-12-01T17:26:16;glamorise invest boastfully;2023-12-01T15:23:18
9;brr until;mostly rude;a aha notwithstanding;boo;sculpture;oof excepting;bah generation merrily;shyly;2023-12-01;ugh mom even;before scholarly fan;stall burdensome by;FEMALE;ID;police plough busily;mini;false;true;Kaleigh.Hackett@yahoo.com;colorfully;true;true;PENDING_KYC2;../fake-data/blob/hipster.png;image/png;deplore deposit follow;39615;apud till plaster;29420.89;22112.21;um blah pro;quarrelsomely fascia pfft;2023-11-30T21:17:55;searchingly until;2023-12-01T10:42:53
10;since;rewind sans gah;in abaft;optimistically amputate;grouchy yippee;educated;who boohoo tom-tom;voyage;2023-12-01;greatly;vivacious;foolishly;MALE;PASSPORT;thirsty fatally misty;apropos;true;false;Savannah53@yahoo.com;patient why ack;false;false;DEACTIVATED;../fake-data/blob/hipster.png;image/png;geometry;77746-7446;since smite;19330.9;28227.65;symbolise;competent socialize blackness;2023-12-01T05:29:47;meh;2023-12-01T11:11:36
